seller_id,username,name,job_title,location,skills,base_price,average_gig_price,total_sales,order_completion_rate,seller_level,years_of_experience,response_time,profile_url
a58a2de2-60ec-4d72-b41c-e5b0d505aa8c,scott15,Anna White,Animator,"Samuelland, United States","Video & Animation, Graphic Design",46.4,49.89,486,90.56,New Seller,8,9 hours,https://www.fiverr.com/scott15
5431aa5b-7533-45a3-a4f7-e8be174c20a4,virginia92,Jamie Reed,Copywriter,"Lake Yolandaport, United Kingdom","Writing & Translation, Lifestyle",16.31,113.07,794,95.93,New Seller,6,3 hours,https://www.fiverr.com/virginia92
71312bef-1508-4186-94d9-b6a46e2ea709,amy76,Lindsey Bruce,SEO Specialist,"South Alan, United States",Digital Marketing,21.27,149.32,790,98.48,Level One Seller,8,5 hours,https://www.fiverr.com/amy76
3c2d42ec-d8e6-46f7-9230-8c96f5a487d0,hmorgan,Elizabeth Hayden,Financial Analyst,"Lake Cassieside, Pakistan",Business,48.16,188.98,966,96.11,Top Rated Seller,9,22 hours,https://www.fiverr.com/hmorgan
e56cfdaf-fdcb-4bf1-8a14-17fc23971fbf,amber63,Katie Cox,Animator,"Traceyberg, United States","Video & Animation, Business",77.09,130.33,623,99.41,New Seller,10,9 hours,https://www.fiverr.com/amber63
700194d5-a2bc-4cae-9bcd-8151d9ec17c7,xmartin,James Valdez,Personal Shopper,"Lake Caitlin, United States",Lifestyle,37.99,73.58,218,98.88,New Seller,8,11 hours,https://www.fiverr.com/xmartin
471549a9-5135-474d-94e3-8e506767b187,johnsondawn,Danielle Smith,Data Analyst,"Brockborough, United States",Programming & Tech,31.24,140.64,122,96.27,Level One Seller,4,14 hours,https://www.fiverr.com/johnsondawn
54e55b0a-881e-4249-94dd-3ea1e4fa5902,julie82,Lori Salazar,Content Writer,"Masonburgh, Pakistan",Writing & Translation,93.92,172.97,564,99.73,New Seller,9,16 hours,https://www.fiverr.com/julie82
0fe9bda8-4b28-4880-bab1-cb3629be06a4,hernandezmichelle,Cory Rodgers,Brand Identity Designer,"Lake Robertburgh, India",Graphic Design,17.5,164.2,297,98.98,New Seller,5,14 hours,https://www.fiverr.com/hernandezmichelle
c3347c47-ed4f-4560-93c0-ca398828b5ac,akelley,Hannah Bradford,Life Coach,"North Aaronshire, India",Lifestyle,44.74,119.82,414,95.2,Level Two Seller,1,9 hours,https://www.fiverr.com/akelley
d11713f2-7092-4b1d-b474-929c41b56dea,websterbruce,Jonathan Larson,Data Analyst,"Tranmouth, India","Programming & Tech, Digital Marketing",78.35,170.62,303,95.65,New Seller,2,2 hours,https://www.fiverr.com/websterbruce
ecd01661-3f61-4860-8cdd-6865ed52f43e,johncarter,Brandon Flores,Content Strategist,"Brownton, United States","Digital Marketing, Graphic Design",15.81,153.35,132,96.35,New Seller,6,4 hours,https://www.fiverr.com/johncarter
b15da17f-1ee7-4eed-8c4f-7a7ff8ca4d42,perezdaniel,Tara Li,Social Media Manager,"Yateshaven, Nigeria","Digital Marketing, Video & Animation",16.05,160.28,395,94.11,New Seller,9,6 hours,https://www.fiverr.com/perezdaniel
f6cc458b-021a-4700-b68a-a674f1f7ebb2,stacycunningham,William Walton,Voice Over Artist,"West Brandonmouth, United Kingdom","Music & Audio, Programming & Tech",24.88,102.45,437,99.96,New Seller,7,16 hours,https://www.fiverr.com/stacycunningham
a9e151f2-5386-4ea4-8272-d28c4080965c,michael50,Brett Hernandez,Financial Analyst,"Cristianmouth, United States",Business,15.11,136.95,714,96.87,Top Rated Seller,6,13 hours,https://www.fiverr.com/michael50
1f7e7fec-1882-4ea2-8cf9-af31a706cabe,wongsavannah,Vicki Rodriguez,Life Coach,"Cameronbury, United States","Lifestyle, Business",79.29,163.57,922,98.46,New Seller,8,23 hours,https://www.fiverr.com/wongsavannah
2b8af96b-48d7-42a7-9d78-a3fd0ce79182,evan77,Margaret Garcia,Data Analyst,"Veronicamouth, India",Programming & Tech,10.44,21.4,772,91.98,Top Rated Seller,2,21 hours,https://www.fiverr.com/evan77
e76c386a-a94f-4ea1-9e36-ee40beae822f,bmartinez,Jared Berger,Translator,"Russellchester, India","Writing & Translation, Music & Audio",58.94,160.41,776,93.78,Level Two Seller,6,6 hours,https://www.fiverr.com/bmartinez
18278624-c72b-4718-999f-d230ee2c9bec,hannanathan,Kyle Washington,Brand Identity Designer,"West Davidhaven, Pakistan",Graphic Design,81.55,209.04,684,95.28,Level Two Seller,3,2 hours,https://www.fiverr.com/hannanathan
7e5c95cd-2a74-4242-82c0-3e7b310b3004,pmcdaniel,Miss Jennifer Ortega,Copywriter,"New Laura, India",Writing & Translation,94.43,152.89,862,99.3,New Seller,1,10 hours,https://www.fiverr.com/pmcdaniel
f18f115b-186c-41cc-b449-d00b4f1fad4d,brandybeck,Alexander Moore,Content Writer,"Reyesville, United Kingdom","Writing & Translation, Digital Marketing",15.98,127.18,922,99.29,New Seller,5,5 hours,https://www.fiverr.com/brandybeck
63edeea7-8e7b-4c74-a0fc-5a75dffc3c18,rasmussencassie,Dean Jones,SEO Specialist,"West Reginald, United States","Digital Marketing, Programming & Tech",97.13,122.82,221,90.52,New Seller,2,3 hours,https://www.fiverr.com/rasmussencassie
76c41a85-b534-4a46-bb31-c2150a1ef4a0,jevans,Julie Bishop,Illustrator,"Samanthahaven, United States","Graphic Design, Video & Animation",47.31,126.53,849,99.88,New Seller,7,15 hours,https://www.fiverr.com/jevans
ea74f167-2743-4741-b71a-5106c1a4854d,markgilbert,Nancy Crawford,Business Consultant,"Dylanside, Nigeria","Business, Graphic Design",34.54,164.97,747,94.93,New Seller,4,6 hours,https://www.fiverr.com/markgilbert
06f04342-e03d-4680-b8e9-fcf0e2df9778,fpatterson,Emma Flynn,Motion Graphics Designer,"North Ashleychester, United States",Video & Animation,35.74,80.11,384,94.31,Level One Seller,10,13 hours,https://www.fiverr.com/fpatterson
7938db61-0e9f-4b16-b986-55ca3d2268b3,mcooper,Brian Garcia,Illustrator,"Thomaston, Nigeria",Graphic Design,33.16,96.73,919,92.38,New Seller,4,20 hours,https://www.fiverr.com/mcooper
cdddf110-5426-4072-b993-8015086fcedd,christinelane,Christine Garcia,App Developer,"Baileyberg, United Kingdom",Programming & Tech,5.87,110.94,405,90.23,Level One Seller,9,16 hours,https://www.fiverr.com/christinelane
